year,energy,manufacturing_industries_and_construction,non_road_transport ,road_transport,other_small_stationary_combustion_and_non_road_mobile_sources_and_machinery,domestic_combustion,other_mobile_combustion_military_aircraft_and_naval_shipping,fugitive_emissions,industrial_processes,agriculture,waste,other
1990.00,0.287391363,0.124273472,0.05753587,0.410405786,0.049864569,0.029442977,0.013694383,0.001466516,0.00576828,0.015612907,0.00236673,6.87345E-05
1991,0.269410001,0.127926339,0.058369406,0.418582346,0.05302721,0.032193936,0.013426557,0.001430079,0.005323671,0.015678377,0.002394964,7.25402E-05
1992,0.268637285,0.127981965,0.060912898,0.418478728,0.05471976,0.030469342,0.012807787,0.001451537,0.004907017,0.01477294,0.002351703,7.66057E-05
1993,0.253187459,0.132067507,0.064591655,0.423675182,0.056043148,0.032750211,0.012536331,0.001633115,0.004700304,0.013718024,0.002275482,7.91611E-05
1994,0.254446613,0.13807071,0.072538824,0.410971824,0.055457325,0.030577161,0.011885367,0.001992636,0.004688199,0.014595678,0.001944138,8.19763E-05
1995,0.249831212,0.137385225,0.077963716,0.4085758,0.05840438,0.028806451,0.012397953,0.002333331,0.003947065,0.015174336,0.002058638,8.66726E-05
1996,0.236865214,0.134126082,0.082160032,0.410700739,0.062707882,0.032655946,0.012896002,0.002293236,0.004040009,0.015902866,0.002198903,0.000105624
1997,0.215200546,0.140827054,0.086634808,0.420507703,0.062420796,0.031475758,0.014238316,0.002244692,0.004144425,0.017059617,0.001277293,0.000133133
1998,0.218953784,0.148812209,0.090998502,0.408778674,0.060743803,0.031626371,0.011090609,0.002238632,0.003876905,0.017118728,0.001231431,0.00015575
1999,0.205902676,0.148796011,0.097330952,0.408765933,0.06383162,0.032001082,0.01235583,0.002080448,0.004151631,0.01827318,0.001247311,0.000171152
2000,0.221633254,0.152174315,0.09352507,0.393353822,0.06335132,0.0325787,0.012228416,0.002245231,0.004137985,0.017456148,0.001288588,0.000173666
2001,0.244937139,0.149338179,0.08944744,0.378752918,0.061782221,0.033558278,0.011742774,0.002303761,0.003515695,0.016886584,0.001601508,0.000180012
2002,0.25383046,0.136616707,0.094125213,0.377759278,0.06275509,0.032829152,0.011741065,0.002450859,0.002491816,0.017632903,0.001352494,0.000188008
2003,0.271836547,0.139622632,0.090543627,0.36316847,0.059238994,0.032575598,0.012855586,0.001841878,0.002495547,0.017731929,0.001346922,0.000195095
2004,0.267627125,0.143080889,0.090599412,0.358266537,0.062007236,0.033587794,0.013872293,0.001815025,0.002643979,0.017603021,0.001303626,0.00019721
2005,0.28212915,0.14356944,0.08956177,0.345668215,0.063698832,0.031350481,0.012705346,0.001890321,0.002624996,0.017239022,0.001271423,0.00019945
2006,0.294961325,0.139369301,0.087736227,0.342306742,0.059625038,0.0308607,0.013819272,0.001882908,0.002523323,0.017116629,0.001244543,0.000195135
2007,0.287326137,0.138841003,0.092226693,0.343555156,0.059379133,0.030150448,0.016661848,0.001749473,0.002805124,0.01722171,0.001239848,0.000204237
2008,0.264263501,0.130738064,0.097187345,0.353502469,0.069160873,0.033416186,0.017395981,0.00204633,0.003143409,0.018734799,0.001291757,0.000229952
2009,0.270991155,0.124361496,0.105758525,0.336805398,0.068424092,0.036714212,0.01924724,0.002106941,0.00298672,0.021462918,0.001459412,0.000260012
2010,0.270916654,0.131362761,0.103588276,0.326951271,0.067627243,0.040931238,0.019752841,0.002182615,0.003065172,0.022497319,0.00147636,0.000286553
2011,0.273962265,0.133612586,0.106068068,0.327268638,0.061461348,0.036297712,0.019646761,0.002240078,0.003148686,0.024272535,0.001563876,0.00030321
2012,0.306308498,0.130260734,0.09598771,0.306974657,0.066040425,0.037877729,0.017515358,0.001786257,0.002350875,0.023352785,0.001489498,0.000292269
2013,0.305754776,0.129416508,0.094854621,0.307604714,0.062602088,0.040576306,0.016802654,0.002232482,0.002734453,0.025187116,0.001565012,0.000311702
2014,0.279980709,0.133538491,0.104011789,0.320748205,0.063479413,0.036521527,0.01550844,0.002206503,0.002941141,0.028086577,0.001609919,0.000325972
2015,0.261716382,0.141017934,0.110833174,0.321245571,0.065671608,0.039181397,0.012961803,0.002320065,0.002815603,0.028565966,0.001674941,0.000343178
2016,0.210053034,0.153698603,0.120290458,0.339160199,0.068577089,0.043693121,0.013616685,0.002445707,0.002940262,0.030529601,0.001781195,0.000377673
2017,0.195965369,0.162678242,0.12235558,0.336606035,0.06852084,0.043600626,0.014892193,0.002718847,0.003264264,0.03278739,0.001867892,0.000392663
2018,0.183607831,0.174249031,0.127759142,0.324674867,0.068892498,0.04684814,0.016411151,0.002758548,0.003240173,0.034101292,0.001870938,0.000412402
2019,0.182414833,0.174882619,0.134828801,0.314773564,0.067391097,0.04752546,0.016786435,0.002758894,0.003329611,0.036533064,0.00218267,0.00044084
2020,0.201714783,0.20150474,0.12861017,0.271216076,0.069982126,0.054469494,0.015390832,0.002938834,0.00378269,0.039588342,0.002631899,0.000511659
2021,0.189420962,0.198762057,0.13079794,0.273079216,0.072784226,0.05698244,0.020958014,0.002237416,0.003958685,0.040532082,0.002631851,0.00051074
