series,year,emissions (million tonnes)
NOx Compliance,1970,2.892491704
NOx Compliance,1971,2.878641614
NOx Compliance,1972,2.867248395
NOx Compliance,1973,3.037948795
NOx Compliance,1974,2.846068997
NOx Compliance,1975,2.764491762
NOx Compliance,1976,2.810917242
NOx Compliance,1977,2.826706966
NOx Compliance,1978,2.868871374
NOx Compliance,1979,2.972478893
NOx Compliance,1980,2.829919472
NOx Compliance,1981,2.718417696
NOx Compliance,1982,2.713328277
NOx Compliance,1983,2.679752794
NOx Compliance,1984,2.642081698
NOx Compliance,1985,2.737709469
NOx Compliance,1986,2.823172734
NOx Compliance,1987,2.895647584
NOx Compliance,1988,2.958311746
NOx Compliance,1989,3.010948816
NOx Compliance,1990,2.781183085
NOx Compliance,1991,2.715562764
NOx Compliance,1992,2.658058907
NOx Compliance,1993,2.526571935
NOx Compliance,1994,2.49042053
NOx Compliance,1995,2.398081725
NOx Compliance,1996,2.303470594
NOx Compliance,1997,2.141431021
NOx Compliance,1998,2.087070943
NOx Compliance,1999,1.981615097
NOx Compliance,2000,1.914875783
NOx Compliance,2001,1.872306449
NOx Compliance,2002,1.780418891
NOx Compliance,2003,1.757910271
NOx Compliance,2004,1.708573704
NOx Compliance,2005,1.695695726
NOx Compliance,2006,1.644981849
NOx Compliance,2007,1.578903237
NOx Compliance,2008,1.415987612
NOx Compliance,2009,1.241142042
NOx Compliance,2010,1.211925479
NOx Compliance,2011,1.130649384
NOx Compliance,2012,1.155905321
NOx Compliance,2013,1.097973563
NOx Compliance,2014,1.026243166
NOx Compliance,2015,0.983888998
NOx Compliance,2016,0.88673544
NOx Compliance,2017,0.847959562
NOx Compliance,2018,0.809024044
NOx Compliance,2019,0.755897949
NOx Compliance,2020,0.648611671
NOx Compliance,2021,0.640005917
NOx Compliance,2022,0.619205999
Nitrogen oxides as NO2,1970,2.919936263
Nitrogen oxides as NO2,1971,2.908509446
Nitrogen oxides as NO2,1972,2.897965815
Nitrogen oxides as NO2,1973,3.069869862
Nitrogen oxides as NO2,1974,2.879400702
Nitrogen oxides as NO2,1975,2.79672209
Nitrogen oxides as NO2,1976,2.844496763
Nitrogen oxides as NO2,1977,2.861180974
Nitrogen oxides as NO2,1978,2.905047407
Nitrogen oxides as NO2,1979,3.009450505
Nitrogen oxides as NO2,1980,2.869031289
Nitrogen oxides as NO2,1981,2.758783363
Nitrogen oxides as NO2,1982,2.756151739
Nitrogen oxides as NO2,1983,2.72383746
Nitrogen oxides as NO2,1984,2.690256786
Nitrogen oxides as NO2,1985,2.784342641
Nitrogen oxides as NO2,1986,2.870298752
Nitrogen oxides as NO2,1987,2.943852058
Nitrogen oxides as NO2,1988,3.003404255
Nitrogen oxides as NO2,1989,3.056724474
Nitrogen oxides as NO2,1990,2.82488784
Nitrogen oxides as NO2,1991,2.75838072
Nitrogen oxides as NO2,1992,2.697335684
Nitrogen oxides as NO2,1993,2.561082701
Nitrogen oxides as NO2,1994,2.526819686
Nitrogen oxides as NO2,1995,2.434551989
Nitrogen oxides as NO2,1996,2.340061641
Nitrogen oxides as NO2,1997,2.177896709
Nitrogen oxides as NO2,1998,2.122929545
Nitrogen oxides as NO2,1999,2.01803243
Nitrogen oxides as NO2,2000,1.948495971
Nitrogen oxides as NO2,2001,1.904144159
Nitrogen oxides as NO2,2002,1.811993998
Nitrogen oxides as NO2,2003,1.789285975
Nitrogen oxides as NO2,2004,1.738826195
Nitrogen oxides as NO2,2005,1.724944466
Nitrogen oxides as NO2,2006,1.67321885
Nitrogen oxides as NO2,2007,1.606136346
Nitrogen oxides as NO2,2008,1.442576578
Nitrogen oxides as NO2,2009,1.267740602
Nitrogen oxides as NO2,2010,1.239300149
Nitrogen oxides as NO2,2011,1.157999508
Nitrogen oxides as NO2,2012,1.182900554
Nitrogen oxides as NO2,2013,1.125593383
Nitrogen oxides as NO2,2014,1.05494625
Nitrogen oxides as NO2,2015,1.012106338
Nitrogen oxides as NO2,2016,0.914172388
Nitrogen oxides as NO2,2017,0.876050008
Nitrogen oxides as NO2,2018,0.836936629
Nitrogen oxides as NO2,2019,0.783833536
Nitrogen oxides as NO2,2020,0.674793553
Nitrogen oxides as NO2,2021,0.666771971
Nitrogen oxides as NO2,2022,0.643296168
ERC_2020-2029,2020,0.763063077
ERC_2020-2029,2021,0.763063077
ERC_2020-2029,2022,0.763063077
ERC_2020-2029,2023,0.763063077
ERC_2020-2029,2024,0.763063077
ERC_2020-2029,2025,0.763063077
ERC_2020-2029,2026,0.763063077
ERC_2020-2029,2027,0.763063077
ERC_2020-2029,2028,0.763063077
ERC_2020-2029,2029,0.763063077
CLRTAP_2020-2029,2020,0.776225009
CLRTAP_2020-2029,2021,0.776225009
CLRTAP_2020-2029,2022,0.776225009
CLRTAP_2020-2029,2023,0.776225009
CLRTAP_2020-2029,2024,0.776225009
CLRTAP_2020-2029,2025,0.776225009
CLRTAP_2020-2029,2026,0.776225009
CLRTAP_2020-2029,2027,0.776225009
CLRTAP_2020-2029,2028,0.776225009
CLRTAP_2020-2029,2029,0.776225009
