Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Combustion in Energy Industries,28.9,27.2,27.1,25.5,25.6,25.2,23.9,21.7,22.1,20.8,22.4,24.8,25.7,27.6,27.1,28.5,29.7,28.9,26.6,27.2,27.1,27.4,30.6,30.5,27.8,26.1,21.0,19.8,18.4,18.2,20.2,19.3,19.0
Industrial Combustion,11.5,11.9,11.9,12.2,12.5,12.4,12.0,12.7,12.7,12.3,12.7,12.2,10.9,11.2,11.3,11.7,11.0,11.1,9.8,9.0,9.6,10.0,9.7,9.8,10.2,10.9,11.1,11.9,13.0,13.0,14.8,14.1,14.4
Non-Road Transport,6.5,6.6,6.9,7.3,8.2,8.7,9.2,9.7,10.3,11.0,10.7,10.4,11.0,10.6,10.8,10.6,10.4,10.8,11.3,12.3,12.0,12.2,11.1,10.9,11.9,12.6,13.7,14.1,14.7,15.5,14.0,14.1,15.2
Road Transport,41.3,42.1,42.2,42.8,41.8,41.7,42.0,42.9,41.8,41.7,40.1,38.4,38.3,36.8,36.4,35.1,35.0,35.3,36.6,35.3,34.4,34.6,32.6,32.7,34.1,34.1,36.1,35.8,34.5,33.6,29.3,30.0,30.4
Other Combustion,4.9,5.2,5.3,5.5,5.5,5.8,6.2,6.2,6.7,7.3,7.4,7.5,7.4,7.2,7.7,7.8,7.5,7.4,8.5,8.5,8.5,7.9,8.2,8.0,8.1,8.4,9.4,9.3,9.8,9.8,10.9,10.9,10.5
Domestic Combustion,2.9,3.2,3.0,3.2,3.0,2.8,3.1,3.0,3.0,3.0,3.1,3.2,3.1,3.0,3.1,2.8,2.8,2.7,3.0,3.2,3.6,3.1,3.2,3.4,3.0,3.3,3.6,3.7,3.9,3.9,4.4,4.6,4.1
Military Aircraft and Naval Shipping,1.4,1.4,1.3,1.3,1.2,1.2,1.3,1.4,1.1,1.3,1.2,1.2,1.2,1.3,1.4,1.3,1.4,1.7,1.8,1.9,2.0,2.0,1.8,1.7,1.5,1.3,1.4,1.5,1.6,1.7,1.5,2.1,1.9
Fugitive Emissions from Fuels,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3
Industrial Processes and Product Use,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Agriculture,1.5,1.6,1.5,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.8,2.1,2.2,2.4,2.3,2.5,2.7,2.8,3.0,3.2,3.3,3.6,3.9,4.0,3.7
Waste,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
