"","min_power","max_power","directive","CP_type","nox_ELV_mg_Nm3","efficiency","conversion_factor","converted_nox_g_kwh","converted_nox_g_kwh_max_efficiency","converted_nox_g_kwh_min_efficiency","avg_power"
"1",1,5,"MCP","Gas Turbine",50,0.5,981,0.101936799184506,0.0536509469392135,0.169894665307509,3
"2",1,5,"MCP","Gas Engine",95,0.5,981,0.193679918450561,0.101936799184506,0.322799864084268,3
"3",1,5,"MCP","Gas Boiler",100,0.5,981,0.203873598369011,0.107301893878427,0.339789330615019,3
"4",1,5,"MCP","Biomass Boiler",500,0.36,720,1.92901234567901,0.730994152046784,2.31481481481481,3
"5",1,5,"MCP","Coal Boiler",500,0.36,767,1.81080689555266,0.686200507788376,2.17296827466319,3
"6",5,50,"MCP","Gas Turbine",50,0.5,981,0.101936799184506,0.0536509469392135,0.169894665307509,27.5
"7",5,50,"MCP","Gas Engine",95,0.5,981,0.193679918450561,0.101936799184506,0.322799864084268,27.5
"8",5,50,"MCP","Gas Boiler",100,0.5,981,0.203873598369011,0.107301893878427,0.339789330615019,27.5
"9",5,50,"MCP","Biomass Boiler",300,0.36,720,1.15740740740741,0.43859649122807,1.38888888888889,27.5
"10",5,50,"MCP","Coal Boiler",300,0.36,767,1.08648413733159,0.411720304673025,1.30378096479791,27.5
"11",50,100,"IED","Gas Turbine",50,0.5,981,0.101936799184506,0.0536509469392135,0.169894665307509,75
"12",50,100,"IED","Gas Engine",75,0.5,981,0.152905198776758,0.0804764204088202,0.254841997961264,75
"13",50,100,"IED","Gas Boiler",100,0.5,981,0.203873598369011,0.107301893878427,0.339789330615019,75
"14",50,100,"IED","Biomass Boiler",250,0.36,720,0.964506172839506,0.365497076023392,1.15740740740741,75
"15",50,100,"IED","Coal Boiler",300,0.36,767,1.08648413733159,0.411720304673025,1.30378096479791,75
"16",100,300,"IED","Gas Turbine",50,0.5,981,0.101936799184506,0.0536509469392135,0.169894665307509,200
"17",100,300,"IED","Gas Engine",75,0.5,981,0.152905198776758,0.0804764204088202,0.254841997961264,200
"18",100,300,"IED","Gas Boiler",100,0.5,981,0.203873598369011,0.107301893878427,0.339789330615019,200
"19",100,300,"IED","Biomass Boiler",200,0.36,720,0.771604938271605,0.292397660818713,0.925925925925926,200
"20",100,300,"IED","Coal Boiler",200,0.36,767,0.724322758221063,0.27448020311535,0.869187309865276,200
"21",300,3000,"IED","Gas Turbine",50,0.5,981,0.101936799184506,0.0536509469392135,0.169894665307509,1650
"22",300,3000,"IED","Gas Engine",75,0.5,981,0.152905198776758,0.0804764204088202,0.254841997961264,1650
"23",300,3000,"IED","Gas Boiler",100,0.5,981,0.203873598369011,0.107301893878427,0.339789330615019,1650
"24",300,3000,"IED","Biomass Boiler",150,0.36,720,0.578703703703704,0.219298245614035,0.694444444444444,1650
"25",300,3000,"IED","Coal Boiler",150,0.36,767,0.543242068665797,0.205860152336513,0.651890482398957,1650
