class,engine_notch,power_kw_inc_aux_loads,nox_g_kwh
66,0,46,15.51
66,1,188,9.21
66,2,314,8.21
66,3,581,5.96
66,4,856,5.12
66,5,1117,5.12
66,6,1372,4.7
66,7,2014,4.06
66,8,2460,4.61
158,0,26,17.06
158,1,47,10.45
158,2,64,9.39
158,3,107,8.87
158,4,146,7.74
158,5,177,6.36
158,6,214,5.14
158,7,261,3.11
170,0,26,15.4
170,1,54,13.05
170,2,94,9.27
170,3,135,9
170,4,179,6.91
170,5,230,4.89
170,6,271,3.29
170,7,315,2.73
220_221,Idle,45,11.1
220_221,TR,45,11.1
220_221,Notch 0,45,2.5
220_221,Notch 1,80,2.5
220_221,Notch 2,110,2.5
220_221,Notch 3,141,2.5
220_221,Notch 4,171,2.8
220_221,Notch 5,201,3
220_221,Notch 6,231,3.3
220_221,Notch 7,261,3.6
220_221,Notch 8,292,3.9
220_221,Notch 9,322,4.1
220_221,Notch 10,352,4.4
220_221,Notch 11,382,4.7
220_221,Notch 12,412,5
220_221,Notch 13,443,5.2
220_221,Notch 14,473,5.5
220_221,Notch 15,503,5.8
220_221,Notch 16,521,6
